,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,176,0,1,0,0,2,0,0,3,2,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,3,1
1,1,137,3,2,10,0,0,1,0,0,6,6,0,3,4,0,0,5,1,8,0,0,0,2,3,1,1
2,2,1,167,1,0,0,1,0,5,0,0,1,0,1,0,2,0,2,3,1,1,0,0,0,0,5,0
3,0,1,0,145,1,0,2,2,0,2,0,9,0,0,2,1,0,2,1,4,2,9,0,5,4,3,0
4,0,5,1,1,152,1,0,4,0,0,6,0,0,0,0,0,0,1,0,12,0,1,0,3,6,0,0
5,0,0,0,0,0,150,0,0,0,10,0,0,0,1,0,1,31,0,0,0,0,0,0,0,0,0,1
6,4,0,0,2,0,0,165,1,0,0,6,0,2,0,0,6,0,0,0,0,1,5,0,0,0,1,0
7,1,0,0,0,5,1,0,160,1,6,1,0,0,1,4,0,0,8,2,0,0,0,0,2,0,0,1
8,2,0,1,0,0,3,0,1,171,3,0,0,3,0,0,0,0,7,0,0,2,0,0,0,0,2,0
9,2,0,1,0,0,51,0,1,1,123,0,0,0,1,1,4,3,0,0,0,0,0,0,1,2,3,1
10,0,2,0,1,0,1,3,0,0,0,168,1,0,0,1,4,0,2,0,5,0,1,0,0,3,0,1
11,0,10,2,5,0,1,0,0,0,0,3,98,2,0,3,0,1,0,0,1,1,0,0,21,2,1,0
12,1,1,1,0,1,15,3,3,9,5,1,1,142,0,0,0,0,0,4,2,2,0,1,3,1,1,2
13,0,3,1,0,0,6,1,3,0,6,0,0,1,170,1,2,0,0,0,0,0,0,0,0,0,0,1
14,1,8,0,0,0,1,0,8,0,8,0,4,1,0,104,0,1,1,0,1,1,0,0,8,0,1,13
15,0,0,0,0,0,4,4,0,0,1,9,0,0,2,0,162,5,0,0,0,0,0,1,0,0,0,2
16,0,0,0,0,0,51,0,0,0,1,1,0,0,0,0,1,110,0,0,0,0,0,0,0,0,0,0
17,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,186,0,0,0,0,1,0,0,0,0
18,2,0,3,0,2,1,0,1,1,2,0,1,3,1,0,0,0,5,150,1,4,0,1,0,2,0,0
19,0,4,0,2,7,1,0,0,0,1,6,0,0,0,1,0,0,4,3,160,0,1,0,0,3,0,0
20,0,0,1,5,0,1,2,0,3,1,0,1,0,0,1,0,2,0,1,2,116,1,16,1,1,1,0
21,1,0,0,16,0,0,10,0,0,0,5,1,0,0,0,0,0,1,0,2,2,150,1,0,0,0,0
22,0,0,0,6,1,3,2,0,0,3,0,3,5,1,3,0,1,0,7,0,39,1,86,2,2,1,3
23,0,0,1,0,11,2,0,1,0,3,1,14,0,0,1,0,0,0,0,1,0,1,0,154,4,0,2
24,1,2,0,1,2,2,0,2,0,2,9,1,0,0,0,0,0,2,1,1,0,1,0,2,182,1,0
25,0,0,1,1,0,0,1,0,9,5,0,0,1,2,2,0,0,10,0,0,2,0,0,0,0,157,1
26,0,1,0,1,3,2,1,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,159
